,title,detail,date
162,加速布局新能源 福斯中国市场战略升级,2020年8月27日，福斯润滑油未来新能源论坛暨FUCHS BluEV 新能源汽车油液产品线发布会举行。,2020-09-11
163,泰州市委常委、常务副市长曹卫东调研东方能源,泰州市委常委、常务副市长曹卫东等领导一行对东方能源应急处理的能力表示了认可。,2020-09-11
164,油价大震荡之际 沙特或不会打破4月历史性减产合约,布伦特原油过去一周的跌幅超过10%，周二（9月8日）跌至每桶40美元以下。不过，沙特阿拉伯并未考虑进一步减产。,2020-09-10
165,固体废物处置及减量化如何实现？,"2020年9月1日起，《中华人民共和国固体废物污染环境防治法》（以下简称""新固废法""）将正式实施。",2020-09-10
166,上海捣毁价值1亿元假冒“嘉实多”“美孚”机油3级产业链,假冒的品牌机油，用手机扫描瓶身上的防伪二维码，竟然能进入品牌官网。,2020-09-10
167,需求利空压力愈演愈烈 主力合约跌至近两月低位,随着市场的关注点再度回归市场基本面，需求端的利空压力导致了近几日油价的持续下滑。,2020-09-10
168,上海市润滑油品行业协会汽车化学品专委会成立大会圆满召开,上海市润滑油品行业协会（SLTA）会议室——协会汽车化学品专业委员会成立大会隆重召开。,2020-09-10
169,金秋九月硕果飘香 卫士石油佰达尔产品首发,广东卫士收获了佰达尔中国运营权，9月伊始，一箱箱象征着收获的金黄色佰达尔车用油产品整装待发……,2020-09-10
170,答应我，一定要看这场直播！9月9日·广州·2020中国润滑油技术创新及行业发展论坛,9月9日，9：00-18：00，广州市智千重市场信息咨询有限公司旗下“云智播”平台，将全程直播本场论坛，精彩放送，不容错失！,2020-09-09
171,欧洲基础油：价格延续上涨,欧洲一类基础油受持续紧张的基本面的支撑已经上涨。,2020-09-09
172,六大国际石油巨头上半年均陷入亏损 国内油企基本面正在持续向好,多家跨国油企发布了半年报，壳牌、BP、埃克森美孚、道达尔、雪佛龙和康菲石油等六大石油巨头均陷入巨额亏损。,2020-09-09
173,国六还没多久国七就快要来了？,国六还没多久国七就快要来了？车主车商都苦恼：这也太快了吧！,2020-09-09
174,进口资源及炼厂产量均下降明显 保税船用油基本面偏强运行,随着9月需求旺季逐渐到来预计下月保税船用油需求量继续维持偏高水平。,2020-09-09
175,升级！中石油这家炼厂跨入千万吨级炼化一体化行列！,大庆石化炼油结构调整转型升级项目中交仪式在350万吨/年常减压装置现场举行。,2020-09-09
176,龙蟠科技与中科院大连化物所、明天氢能携手启动联合实验室建设,9月5日，上市公司龙蟠科技正式启动与中科院大连化学物理研究所共建的车用燃料电池催化剂联合实验室。,2020-09-09
177,参会锦囊请收好！9月8-10日·广州·2020润滑油创新发展论坛,由珠海美合科技股份有限公司独家冠名赞助的 “2020中国润滑油技术创新及行业发展论坛”将于9月8-10日 在广州盛大举办！,2020-09-08
178,沙特阿美大幅调降原油出口官价,沙特将下调10月份对亚洲、美国和西北欧及地中海地区的原油出口价格，以应对全球原油需求波动。,2020-09-08
179,8月基础油装置集中开工 产量环比增加11%,8月份基础油市场总供应量738200吨，环比上升11%。,2020-09-08
